character,codepoint,unicode_name,unicode_category,count,is_sinhala_block,is_whitespace,font_has_codepoint
e,U+0065,LATIN SMALL LETTER E,Ll,20675,False,False,False
a,U+0061,LATIN SMALL LETTER A,Ll,17265,False,False,False
i,U+0069,LATIN SMALL LETTER I,Ll,14938,False,False,False
o,U+006F,LATIN SMALL LETTER O,Ll,14764,False,False,False
t,U+0074,LATIN SMALL LETTER T,Ll,13040,False,False,False
r,U+0072,LATIN SMALL LETTER R,Ll,12507,False,False,False
n,U+006E,LATIN SMALL LETTER N,Ll,12402,False,False,False
s,U+0073,LATIN SMALL LETTER S,Ll,11112,False,False,False
l,U+006C,LATIN SMALL LETTER L,Ll,8520,False,False,False
c,U+0063,LATIN SMALL LETTER C,Ll,6791,False,False,False
u,U+0075,LATIN SMALL LETTER U,Ll,5693,False,False,False
d,U+0064,LATIN SMALL LETTER D,Ll,5667,False,False,False
m,U+006D,LATIN SMALL LETTER M,Ll,5626,False,False,False
h,U+0068,LATIN SMALL LETTER H,Ll,4751,False,False,False
p,U+0070,LATIN SMALL LETTER P,Ll,4697,False,False,False
g,U+0067,LATIN SMALL LETTER G,Ll,4277,False,False,False
S,U+0053,LATIN CAPITAL LETTER S,Lu,3704,False,False,False
C,U+0043,LATIN CAPITAL LETTER C,Lu,3511,False,False,False
A,U+0041,LATIN CAPITAL LETTER A,Lu,3386,False,False,False
y,U+0079,LATIN SMALL LETTER Y,Ll,3370,False,False,False
P,U+0050,LATIN CAPITAL LETTER P,Lu,3333,False,False,False
T,U+0054,LATIN CAPITAL LETTER T,Lu,2980,False,False,False
M,U+004D,LATIN CAPITAL LETTER M,Lu,2711,False,False,False
I,U+0049,LATIN CAPITAL LETTER I,Lu,2702,False,False,False
D,U+0044,LATIN CAPITAL LETTER D,Lu,2663,False,False,False
k,U+006B,LATIN SMALL LETTER K,Ll,2612,False,False,False
v,U+0076,LATIN SMALL LETTER V,Ll,2439,False,False,False
b,U+0062,LATIN SMALL LETTER B,Ll,2341,False,False,False
f,U+0066,LATIN SMALL LETTER F,Ll,2201,False,False,False
w,U+0077,LATIN SMALL LETTER W,Ll,2160,False,False,False
R,U+0052,LATIN CAPITAL LETTER R,Lu,2046,False,False,False
L,U+004C,LATIN CAPITAL LETTER L,Lu,1946,False,False,False
E,U+0045,LATIN CAPITAL LETTER E,Lu,1896,False,False,False
G,U+0047,LATIN CAPITAL LETTER G,Lu,1747,False,False,False
O,U+004F,LATIN CAPITAL LETTER O,Lu,1716,False,False,False
N,U+004E,LATIN CAPITAL LETTER N,Lu,1706,False,False,False
B,U+0042,LATIN CAPITAL LETTER B,Lu,1685,False,False,False
F,U+0046,LATIN CAPITAL LETTER F,Lu,1493,False,False,False
H,U+0048,LATIN CAPITAL LETTER H,Lu,1460,False,False,False
