word_count,grapheme_count,codepoint_count,src,single_line_width_px,wrapped_line_count,estimated_image_height_px,fits_single_line,pixels_per_grapheme
15,62,92,CulturaX,1555.796875,2,134,False,25.093497983870968
14,64,83,CulturaX,1681.84375,2,134,False,26.27880859375
33,152,208,CulturaX,4013.40625,5,263,False,26.403988486842106
8,35,56,CulturaX,907.265625,1,91,True,25.921875
29,127,167,CulturaX,3248.921875,4,220,False,25.582062007874015
8,38,57,CulturaX,1056.0625,2,134,False,27.79111842105263
23,105,141,CulturaX,2615.265625,3,177,False,24.907291666666666
9,47,72,CulturaX,1261.4375,2,134,False,26.83909574468085
18,88,119,CulturaX,2037.78125,3,177,False,23.156605113636363
9,39,56,CulturaX,1041.265625,2,134,False,26.69911858974359
25,114,165,CulturaX,3053.75,4,220,False,26.787280701754387
7,30,44,CulturaX,799.140625,1,91,True,26.638020833333332
15,72,103,CulturaX,1961.140625,3,177,False,27.23806423611111
56,241,329,CulturaX,6412.4375,8,392,False,26.6076244813278
21,98,143,CulturaX,2818.796875,4,220,False,28.763233418367346
22,90,116,CulturaX,2342.4375,3,177,False,26.027083333333334
11,51,74,CulturaX,1422.5625,2,134,False,27.893382352941178
25,106,144,CulturaX,2712.5,4,220,False,25.589622641509433
25,119,178,CulturaX,3172.125,4,220,False,26.656512605042018
22,97,138,CulturaX,2508.609375,3,177,False,25.86195231958763
14,57,71,CulturaX,1307.8125,2,134,False,22.94407894736842
9,35,49,CulturaX,886.765625,1,91,True,25.336160714285715
14,64,83,CulturaX,1613.484375,2,134,False,25.210693359375
18,82,112,CulturaX,2165.046875,3,177,False,26.403010670731707
21,100,146,CulturaX,2430.78125,3,177,False,24.3078125
8,32,44,CulturaX,859.5,1,91,True,26.859375
11,48,65,CulturaX,1302.015625,2,134,False,27.125325520833332
35,189,234,CulturaX,4355.671875,5,263,False,23.045882936507937
31,149,208,CulturaX,4006.953125,5,263,False,26.892302852348994
32,169,253,CulturaX,4623.96875,6,306,False,27.360761834319526
12,58,77,CulturaX,1478.921875,2,134,False,25.49865301724138
7,39,57,CulturaX,1047.171875,2,134,False,26.850560897435898
9,29,42,CulturaX,774.390625,1,91,True,26.703125
13,55,76,CulturaX,1447.296875,2,134,False,26.314488636363638
8,33,42,CulturaX,883.0,1,91,True,26.757575757575758
8,31,39,CulturaX,767.203125,1,91,True,24.748487903225808
17,80,117,CulturaX,2151.671875,3,177,False,26.8958984375
30,137,205,CulturaX,3783.984375,5,263,False,27.62032390510949
23,104,146,CulturaX,2756.59375,4,220,False,26.505709134615383
7,31,40,CulturaX,798.703125,1,91,True,25.764616935483872
7,22,28,CulturaX,592.515625,1,91,True,26.93252840909091
8,33,50,CulturaX,928.453125,1,91,True,28.134943181818183
11,55,64,CulturaX,1248.421875,2,134,False,22.698579545454546
28,131,186,CulturaX,3411.78125,4,220,False,26.044131679389313
27,117,164,CulturaX,3283.78125,4,220,False,28.06650641025641
7,39,57,CulturaX,998.40625,2,134,False,25.600160256410255
22,98,139,CulturaX,2659.046875,3,177,False,27.13313137755102
18,76,107,CulturaX,2117.484375,3,177,False,27.861636513157894
23,93,133,CulturaX,2527.1875,3,177,False,27.174059139784948
14,57,80,CulturaX,1677.0,2,134,False,29.42105263157895
13,57,81,CulturaX,1532.9375,2,134,False,26.89364035087719
16,83,122,CulturaX,2195.53125,3,177,False,26.45218373493976
34,157,222,CulturaX,4118.734375,5,263,False,26.233976910828027
30,118,165,CulturaX,3095.765625,4,220,False,26.23530190677966
28,135,187,CulturaX,3589.53125,4,220,False,26.58912037037037
8,34,45,CulturaX,821.390625,1,91,True,24.15854779411765
13,61,97,CulturaX,1571.0,2,134,False,25.75409836065574
13,57,80,CulturaX,1514.921875,2,134,False,26.577576754385966
20,89,123,CulturaX,2406.328125,3,177,False,27.037394662921347
16,66,89,CulturaX,1667.484375,2,134,False,25.264914772727273
16,66,92,CulturaX,1823.171875,2,134,False,27.62381628787879
12,44,59,CulturaX,1152.34375,2,134,False,26.189630681818183
29,129,177,CulturaX,3379.0625,4,220,False,26.194282945736433
9,43,66,CulturaX,1149.609375,2,134,False,26.735101744186046
13,62,87,CulturaX,1706.5625,2,134,False,27.525201612903224
9,27,40,CulturaX,787.125,1,91,True,29.15277777777778
16,75,104,CulturaX,1836.515625,2,134,False,24.486875
17,79,115,CulturaX,2056.4375,3,177,False,26.030854430379748
13,70,101,CulturaX,1921.09375,3,177,False,27.444196428571427
22,94,136,CulturaX,2331.578125,3,177,False,24.80402260638298
9,42,64,CulturaX,1234.46875,2,134,False,29.392113095238095
10,45,57,CulturaX,1208.421875,2,134,False,26.853819444444444
9,41,58,CulturaX,1108.53125,2,134,False,27.03734756097561
22,79,110,CulturaX,2109.671875,3,177,False,26.704707278481013
8,36,43,CulturaX,788.5625,1,91,True,21.90451388888889
13,57,77,CulturaX,1434.71875,2,134,False,25.17050438596491
7,39,49,CulturaX,913.546875,1,91,True,23.424278846153847
39,154,215,CulturaX,4066.921875,5,263,False,26.408583603896105
11,43,59,CulturaX,1095.21875,2,134,False,25.470203488372093
12,50,66,CulturaX,1265.921875,2,134,False,25.3184375
13,55,82,CulturaX,1568.453125,2,134,False,28.517329545454544
12,57,85,CulturaX,1561.828125,2,134,False,27.40049342105263
8,34,49,CulturaX,969.671875,2,134,False,28.519761029411764
24,97,137,CulturaX,2551.109375,3,177,False,26.300096649484537
16,75,106,CulturaX,2035.6875,3,177,False,27.1425
15,73,116,CulturaX,1852.796875,2,134,False,25.380779109589042
11,48,64,CulturaX,1323.265625,2,134,False,27.568033854166668
7,27,34,CulturaX,718.859375,1,91,True,26.624421296296298
9,33,47,CulturaX,876.421875,1,91,True,26.558238636363637
12,57,90,CulturaX,1493.4375,2,134,False,26.200657894736842
19,82,111,CulturaX,2184.984375,3,177,False,26.646150914634145
13,56,86,CulturaX,1495.265625,2,134,False,26.701171875
36,145,204,CulturaX,3861.859375,5,263,False,26.63351293103448
11,48,66,CulturaX,1210.359375,2,134,False,25.2158203125
30,142,203,CulturaX,3714.40625,5,263,False,26.157790492957748
77,382,511,CulturaX,9366.484375,11,521,False,24.51959260471204
12,60,84,CulturaX,1627.265625,2,134,False,27.12109375
39,161,209,CulturaX,4040.53125,5,263,False,25.096467391304348
32,139,191,CulturaX,3750.15625,5,263,False,26.979541366906474
