character,codepoint,unicode_name,unicode_category,count,is_sinhala_block,is_whitespace,font_has_codepoint
e,U+0065,LATIN SMALL LETTER E,Ll,1421130,False,False,False
a,U+0061,LATIN SMALL LETTER A,Ll,1144663,False,False,False
o,U+006F,LATIN SMALL LETTER O,Ll,1006618,False,False,False
i,U+0069,LATIN SMALL LETTER I,Ll,990731,False,False,False
t,U+0074,LATIN SMALL LETTER T,Ll,934738,False,False,False
r,U+0072,LATIN SMALL LETTER R,Ll,876837,False,False,False
n,U+006E,LATIN SMALL LETTER N,Ll,808139,False,False,False
s,U+0073,LATIN SMALL LETTER S,Ll,767933,False,False,False
l,U+006C,LATIN SMALL LETTER L,Ll,594914,False,False,False
c,U+0063,LATIN SMALL LETTER C,Ll,439467,False,False,False
u,U+0075,LATIN SMALL LETTER U,Ll,390120,False,False,False
m,U+006D,LATIN SMALL LETTER M,Ll,378756,False,False,False
d,U+0064,LATIN SMALL LETTER D,Ll,369832,False,False,False
p,U+0070,LATIN SMALL LETTER P,Ll,312540,False,False,False
h,U+0068,LATIN SMALL LETTER H,Ll,312283,False,False,False
g,U+0067,LATIN SMALL LETTER G,Ll,278116,False,False,False
S,U+0053,LATIN CAPITAL LETTER S,Lu,252104,False,False,False
P,U+0050,LATIN CAPITAL LETTER P,Lu,234858,False,False,False
A,U+0041,LATIN CAPITAL LETTER A,Lu,226156,False,False,False
C,U+0043,LATIN CAPITAL LETTER C,Lu,225853,False,False,False
y,U+0079,LATIN SMALL LETTER Y,Ll,216275,False,False,False
T,U+0054,LATIN CAPITAL LETTER T,Lu,172440,False,False,False
v,U+0076,LATIN SMALL LETTER V,Ll,168363,False,False,False
b,U+0062,LATIN SMALL LETTER B,Ll,167860,False,False,False
M,U+004D,LATIN CAPITAL LETTER M,Lu,167762,False,False,False
D,U+0044,LATIN CAPITAL LETTER D,Lu,166811,False,False,False
k,U+006B,LATIN SMALL LETTER K,Ll,162101,False,False,False
I,U+0049,LATIN CAPITAL LETTER I,Lu,150629,False,False,False
f,U+0066,LATIN SMALL LETTER F,Ll,144195,False,False,False
w,U+0077,LATIN SMALL LETTER W,Ll,141694,False,False,False
R,U+0052,LATIN CAPITAL LETTER R,Lu,124417,False,False,False
N,U+004E,LATIN CAPITAL LETTER N,Lu,124343,False,False,False
L,U+004C,LATIN CAPITAL LETTER L,Lu,121053,False,False,False
B,U+0042,LATIN CAPITAL LETTER B,Lu,120644,False,False,False
E,U+0045,LATIN CAPITAL LETTER E,Lu,119645,False,False,False
O,U+004F,LATIN CAPITAL LETTER O,Lu,113896,False,False,False
G,U+0047,LATIN CAPITAL LETTER G,Lu,112402,False,False,False
x,U+0078,LATIN SMALL LETTER X,Ll,94686,False,False,False
F,U+0046,LATIN CAPITAL LETTER F,Lu,93688,False,False,False
H,U+0048,LATIN CAPITAL LETTER H,Lu,88672,False,False,False
V,U+0056,LATIN CAPITAL LETTER V,Lu,73071,False,False,False
W,U+0057,LATIN CAPITAL LETTER W,Lu,62690,False,False,False
U,U+0055,LATIN CAPITAL LETTER U,Lu,56066,False,False,False
»,U+00BB,RIGHT-POINTING DOUBLE ANGLE QUOTATION MARK,Pf,40883,False,False,False
K,U+004B,LATIN CAPITAL LETTER K,Lu,40176,False,False,False
X,U+0058,LATIN CAPITAL LETTER X,Lu,33595,False,False,False
z,U+007A,LATIN SMALL LETTER Z,Ll,33306,False,False,False
•,U+2022,BULLET,Po,32183,False,False,False
J,U+004A,LATIN CAPITAL LETTER J,Lu,31791,False,False,False
j,U+006A,LATIN SMALL LETTER J,Ll,21190,False,False,False
Y,U+0059,LATIN CAPITAL LETTER Y,Lu,20512,False,False,False
`,U+0060,GRAVE ACCENT,Sk,19651,False,False,False
@,U+0040,COMMERCIAL AT,Po,17864,False,False,False
Z,U+005A,LATIN CAPITAL LETTER Z,Lu,14163,False,False,False
Q,U+0051,LATIN CAPITAL LETTER Q,Lu,13895,False,False,False
´,U+00B4,ACUTE ACCENT,Sk,13135,False,False,False
&,U+0026,AMPERSAND,Po,11285,False,False,False
«,U+00AB,LEFT-POINTING DOUBLE ANGLE QUOTATION MARK,Pi,11243,False,False,False
q,U+0071,LATIN SMALL LETTER Q,Ll,10318,False,False,False
→,U+2192,RIGHTWARDS ARROW,Sm,9991,False,False,False
�,U+FFFD,REPLACEMENT CHARACTER,So,9073,False,False,False
$,U+0024,DOLLAR SIGN,Sc,8184,False,False,False
←,U+2190,LEFTWARDS ARROW,Sm,7282,False,False,False
·,U+00B7,MIDDLE DOT,Po,5469,False,False,False
😀,U+1F600,GRINNING FACE,So,5018,False,False,False
⁣,U+2063,INVISIBLE SEPARATOR,Cf,4879,False,False,False
■,U+25A0,BLACK SQUARE,So,4534,False,False,False
🙂,U+1F642,SLIGHTLY SMILING FACE,So,4366,False,False,False
£,U+00A3,POUND SIGN,Sc,3053,False,False,False
↑,U+2191,UPWARDS ARROW,Sm,2930,False,False,False
●,U+25CF,BLACK CIRCLE,So,2870,False,False,False
‛,U+201B,SINGLE HIGH-REVERSED-9 QUOTATION MARK,Pi,2205,False,False,False
°,U+00B0,DEGREE SIGN,So,2160,False,False,False
️,U+FE0F,VARIATION SELECTOR-16,Mn,1872,False,False,False
,U+F03C,UNNAMED,Co,1802,False,False,False
,U+F554,UNNAMED,Co,1645,False,False,False
