grapheme_count,row_number,word_count,text_preview,src
18050,5526799,2417,"NYCity, Weehawken, බටහිර නිව් යෝර්ක්, වෘත්තීය සමිති නගරය, උතුරු Bergen, ලෝන්ග් අයිලන්ඩ් නගරය, Astoria, Hoboken, බෲක්ලින්, ජර්සි නගරයේ, Fairview, Sunnyside, Cliffside පාර්ක්, Secaucus, Edgewater, වුඩ්සයිඩ්, බ්රොන්ක්ස්, Ridgefield, නැගෙනහිර Elmhurst, Maspeth, ජැක්සන් හයිට්ස්, Palisades පාර්ක්, කරකැවිල",CulturaX
12052,5965114,1661,"Bridgeport, Fairfield, ස්ට්රැට්ෆඩ්, Southport, Trumbull, ඊස්ටන්, හරිත පක්ෂය ගොවිපළ, මිල්ෆෝඩ්, සමාගමත්, Weston, ෂෙල්ටන්, මොන්රෝ, Norwalk, තැඹිලි, ඩර්බි, විල්ටන්, ෂිපිං, ජෝර්ජ්ටවුන්, Redding, Redding මධ්යස්ථානය, Redding රිඩ්ජ්, බටහිර හැවන්, නව කානාන්, Botsford, ස්ටීවන්සන්, වුඩ්, සීමෝ, නිව් හැවන්, සැන්",CulturaX
11922,4664373,1544,"විල්මින්ග්ටන්, Montchanin, රොක්ලන්ඩ්, Penns ග්රෝව්, ගැඹුරු දිය, Winterthur, නව කාසල්, Claymont, yorklyn, Pennsville, Pedricktown, Hockessin, Chadds ෆෝඩ්, මාකස් හූක්, ගිණිකොණ දිග, Newark, ඇස්ටන්, තෝන්ටන්, චෙස්ටර් හයිට්ස්, ග්ලෙන් මිල්ස්, gradyville, Concordville, Kemblesville, Mendenhall, ඩෙලවෙයාර් හි",CulturaX
10364,6788638,1386,"බොස්ටන්, කේම්බ්රිජ්, චාල්ස්ටවුන්, සොමර්විල්, චෙල්සි, නැගෙනහිර බොස්ටන්, Brookline, එවර්ට්, උතුරු Waltham, බටහිර Medford, Allston, Winthrop, ජැමෙයිකාවේ තැනිතලාව, මිල්ටන් ගම, Brookline ගම, Revere, Malden, බ්රයිටන්, Medford, ක්වින්සි, Mattapan, Roslindale, චෙස්නට් හිල්, Watertown, බෙල්මවුන්ට්, ආලිංටන්, ",CulturaX
10289,4841469,1378,"දේවාරක්ෂාව, නැගෙනහිර ප්රොවිඩන්ස්, Cranston, Rumford, Pawtucket, උතුරු ප්රොවිඩන්ස්, ජොන්ස්ටන්, ගංගාශ්රිත, Seekonk, මධ්යම ඇල්ල, වෝවික්, ලින්කන්, Barrington, ස්මිත්ෆීල්ඩ්, රෙහොබොත්, ග්රීන්විල්, කම්බර්ලෑන්ඩ්, Attleboro, Fiskeville, බටහිර වෝවික්, වොරන්, බලාපොරොත්තුව, Manville, උතුරු Scituate, එකමුතු, Att",CulturaX
10272,1564973,1473,"හන්ටින්ටන්, චෙසපීක්, Proctorville, Ceredo, දකුණු පේදුරු, Lavalette, Kenova, නොගැඹුරු, Barboursville, Catlettsburg, ගල් කඳවුර, Ashland, කිට්ස් හිල්, ඇය, වේන්, Lesage, ලුණු රොක්, විලෝ දැව, Prichard, නැගෙනහිර ලින්, Scottown, Ironton, බටහිර Hamlin, මිල්ටන්, Flatwoods, රසල්, Glenwood, ඔටුන්න හිමි නගරය, ශ",CulturaX
7129,2994815,1068,"චිකාගෝ, AMF Ohare, Cicero, ඕක් පාක්හි, Berwyn, වන සංරක්ෂණ පාර්ක්, Elmwood පාර්ක්, ගඟ වන, Lincolnwood, ගංගාශ්රිත, Hines, Evanston, Maywood, ස්ථාන දෙකෙහි, හොවාර්ඩ් හයිට්ස්, ගඟ ග්රෝව්, Bedford පාර්ක්, රාජ්ය නායක සමුළුව කෘෂි, Broadview, Melrose පාර්ක්, Brookfield, උපන් නගරය, Skokie, සදාහරිත පාර්ක්, Burb",CulturaX
5375,7579304,1123,Air Pollution (1) Capital Flight (1) China (2) Covid19 (1) Epidemiology (1) Health Economics (1) International Trade (1) Italy (1) Music (1) Robotics (1) Statistics (2) Technology (1) z-ස්කෝර් (1) අජිත් ධර්මා (1) අජිත් නිවාඩ් කබ්රාල් (8) අජිත් පැරකුම් (2) අඥේයවාදය (2) අතීත මතක (53) අධ්‍යාපනය (54) අන,CulturaX
5259,8299668,742,අයර්ලන්තය (Ireland) අයිල් ඔෆ් මෑන් (Isle of Man) අයිස්ලන්තය (Ísland) අරූබා (Aruba) අසර්බයිජානය (Azərbaycan) ආර්ජෙන්ටිනාව (Argentina) ආර්මේනියාව (Հայաստան) ඇන්ගුයිලාව (Anguilla) ඇන්ගෝලාව (Angola) ඇන්ටාක්ටිකාව (Antarctica) ඇන්ටිගුවා සහ බාබියුඩාව (Antigua & Barbuda) ඇන්ඩෝරාව (Andorra) ඇමරිකානු වර්ජින් ,CulturaX
5259,3064753,742,අයර්ලන්තය (Ireland) අයිල් ඔෆ් මෑන් (Isle of Man) අයිස්ලන්තය (Ísland) අරූබා (Aruba) අසර්බයිජානය (Azərbaycan) ආර්ජෙන්ටිනාව (Argentina) ආර්මේනියාව (Հայաստան) ඇන්ගුයිලාව (Anguilla) ඇන්ගෝලාව (Angola) ඇන්ටාක්ටිකාව (Antarctica) ඇන්ටිගුවා සහ බාබියුඩාව (Antigua & Barbuda) ඇන්ඩෝරාව (Andorra) ඇමරිකානු වර්ජින් ,CulturaX
