word_count,grapheme_count,codepoint_count,src,single_line_width_px,wrapped_line_count,estimated_image_height_px,fits_single_line,pixels_per_grapheme
15,56,78,CulturaX,1509.875,2,134,False,26.962053571428573
7,34,39,CulturaX,717.171875,1,91,True,21.09329044117647
9,35,46,CulturaX,935.875,1,91,True,26.739285714285714
7,31,43,CulturaX,830.34375,1,91,True,26.785282258064516
24,118,169,CulturaX,3223.234375,4,220,False,27.315545550847457
21,108,155,CulturaX,2919.640625,4,220,False,27.03370949074074
12,47,64,CulturaX,1219.875,2,134,False,25.954787234042552
48,210,279,CulturaX,5711.3125,7,349,False,27.19672619047619
30,129,175,CulturaX,3318.84375,4,220,False,25.72747093023256
8,45,65,CulturaX,1298.15625,2,134,False,28.847916666666666
25,135,194,CulturaX,3679.0,5,263,False,27.251851851851853
42,171,243,CulturaX,4726.859375,6,306,False,27.642452485380115
8,36,56,CulturaX,992.53125,2,134,False,27.5703125
13,60,89,CulturaX,1552.421875,2,134,False,25.873697916666668
33,153,221,CulturaX,4039.796875,5,263,False,26.40390114379085
18,77,111,CulturaX,2131.59375,3,177,False,27.683035714285715
92,425,599,CulturaX,11391.25,13,607,False,26.80294117647059
15,67,85,CulturaX,1663.15625,2,134,False,24.823227611940297
36,166,240,CulturaX,4477.59375,5,263,False,26.973456325301203
27,122,178,CulturaX,3140.78125,4,220,False,25.744108606557376
29,136,195,CulturaX,3663.609375,4,220,False,26.938304227941178
12,55,77,CulturaX,1321.671875,2,134,False,24.030397727272728
21,93,130,CulturaX,2434.125,3,177,False,26.173387096774192
10,45,70,CulturaX,1118.5625,2,134,False,24.856944444444444
7,31,46,CulturaX,996.625,2,134,False,32.149193548387096
55,234,344,CulturaX,6173.96875,7,349,False,26.384481837606838
21,81,118,CulturaX,2029.109375,3,177,False,25.050733024691358
23,92,143,CulturaX,2504.28125,3,177,False,27.22044836956522
20,83,115,CulturaX,2169.46875,3,177,False,26.138177710843372
10,37,56,CulturaX,1041.78125,2,134,False,28.15625
22,92,132,CulturaX,2404.28125,3,177,False,26.133491847826086
8,33,43,CulturaX,830.625,1,91,True,25.170454545454547
9,37,56,CulturaX,1038.046875,2,134,False,28.055320945945947
10,42,61,CulturaX,1047.0625,2,134,False,24.930059523809526
17,71,91,CulturaX,1678.28125,2,134,False,23.637764084507044
15,66,91,CulturaX,1757.4375,2,134,False,26.62784090909091
7,31,43,CulturaX,792.140625,1,91,True,25.552923387096776
9,37,50,CulturaX,1008.453125,2,134,False,27.255489864864863
21,97,145,CulturaX,2622.90625,3,177,False,27.0402706185567
7,26,37,CulturaX,681.59375,1,91,True,26.21514423076923
13,57,85,CulturaX,1631.890625,2,134,False,28.629660087719298
58,285,420,CulturaX,8044.03125,9,435,False,28.224671052631578
32,117,169,CulturaX,2989.78125,4,220,False,25.553685897435898
14,64,88,CulturaX,1689.125,2,134,False,26.392578125
8,60,80,CulturaX,1426.84375,2,134,False,23.780729166666667
40,187,259,CulturaX,4628.859375,6,306,False,24.753258689839573
8,27,39,CulturaX,728.203125,1,91,True,26.97048611111111
9,42,59,CulturaX,1199.671875,2,134,False,28.563616071428573
7,31,42,CulturaX,855.015625,1,91,True,27.581149193548388
10,38,54,CulturaX,962.265625,2,134,False,25.322779605263158
17,72,105,CulturaX,2007.34375,3,177,False,27.879774305555557
39,167,223,CulturaX,4404.609375,5,263,False,26.37490643712575
10,38,63,CulturaX,1117.15625,2,134,False,29.398848684210527
29,140,202,CulturaX,3832.71875,5,263,False,27.3765625
7,31,45,CulturaX,758.03125,1,91,True,24.452620967741936
11,58,81,CulturaX,1452.296875,2,134,False,25.03960129310345
11,52,76,CulturaX,1511.609375,2,134,False,29.069411057692307
19,93,135,CulturaX,2521.171875,3,177,False,27.109375
19,105,149,CulturaX,2796.1875,4,220,False,26.630357142857143
7,30,42,CulturaX,782.765625,1,91,True,26.0921875
8,26,37,CulturaX,715.34375,1,91,True,27.513221153846153
20,95,140,CulturaX,2549.140625,3,177,False,26.833059210526315
17,72,99,CulturaX,1868.0625,2,134,False,25.9453125
21,94,132,CulturaX,2557.09375,3,177,False,27.203125
8,31,42,CulturaX,781.65625,1,91,True,25.214717741935484
16,63,91,CulturaX,1728.65625,2,134,False,27.438988095238095
8,42,63,CulturaX,1106.375,2,134,False,26.342261904761905
27,121,176,CulturaX,3341.390625,4,220,False,27.61479855371901
28,120,163,CulturaX,3226.3125,4,220,False,26.8859375
30,136,193,CulturaX,3533.0,4,220,False,25.977941176470587
24,115,167,CulturaX,3256.421875,4,220,False,28.31671195652174
33,157,224,CulturaX,4174.59375,5,263,False,26.589769108280255
30,122,171,CulturaX,3145.53125,4,220,False,25.783043032786885
23,98,138,CulturaX,2558.03125,3,177,False,26.102359693877553
25,112,158,CulturaX,2987.5,4,220,False,26.674107142857142
15,64,88,CulturaX,1755.390625,2,134,False,27.427978515625
24,102,138,CulturaX,2676.4375,3,177,False,26.239583333333332
19,72,109,CulturaX,1983.546875,3,177,False,27.54926215277778
10,49,69,CulturaX,1303.265625,2,134,False,26.597257653061224
12,50,66,CulturaX,1265.921875,2,134,False,25.3184375
8,40,57,CulturaX,1076.0,2,134,False,26.9
105,471,677,CulturaX,12857.328125,15,693,False,27.297936571125266
12,51,76,CulturaX,1496.921875,2,134,False,29.35140931372549
26,113,154,CulturaX,2935.609375,4,220,False,25.97884402654867
18,79,126,CulturaX,2204.375,3,177,False,27.90348101265823
7,29,42,CulturaX,782.65625,1,91,True,26.98814655172414
23,107,148,CulturaX,2960.71875,4,220,False,27.670268691588785
13,63,92,CulturaX,1762.75,2,134,False,27.98015873015873
10,44,68,CulturaX,1221.953125,2,134,False,27.771661931818183
26,121,174,CulturaX,3148.453125,4,220,False,26.02027376033058
10,48,68,CulturaX,1250.078125,2,134,False,26.043294270833332
