character,codepoint,unicode_name,unicode_category,count,is_sinhala_block,is_whitespace
 ,U+0020,SPACE,Zs,3449150,False,True
්,U+0DCA,SINHALA SIGN AL-LAKUNA,Mn,1652161,True,False
ි,U+0DD2,SINHALA VOWEL SIGN KETTI IS-PILLA,Mn,1341191,True,False
න,U+0DB1,SINHALA LETTER DANTAJA NAYANNA,Lo,1313116,True,False
ව,U+0DC0,SINHALA LETTER VAYANNA,Lo,1058458,True,False
ක,U+0D9A,SINHALA LETTER ALPAPRAANA KAYANNA,Lo,962328,True,False
ය,U+0DBA,SINHALA LETTER YAYANNA,Lo,921379,True,False
ා,U+0DCF,SINHALA VOWEL SIGN AELA-PILLA,Mc,911882,True,False
ම,U+0DB8,SINHALA LETTER MAYANNA,Lo,888464,True,False
ර,U+0DBB,SINHALA LETTER RAYANNA,Lo,853742,True,False
ත,U+0DAD,SINHALA LETTER ALPAPRAANA TAYANNA,Lo,848527,True,False
ු,U+0DD4,SINHALA VOWEL SIGN KETTI PAA-PILLA,Mn,671282,True,False
ස,U+0DC3,SINHALA LETTER DANTAJA SAYANNA,Lo,663862,True,False
ද,U+0DAF,SINHALA LETTER ALPAPRAANA DAYANNA,Lo,527095,True,False
ප,U+0DB4,SINHALA LETTER ALPAPRAANA PAYANNA,Lo,501664,True,False
ල,U+0DBD,SINHALA LETTER DANTAJA LAYANNA,Lo,492235,True,False
හ,U+0DC4,SINHALA LETTER HAYANNA,Lo,416110,True,False
ෙ,U+0DD9,SINHALA VOWEL SIGN KOMBUVA,Mc,415301,True,False
ේ,U+0DDA,SINHALA VOWEL SIGN DIGA KOMBUVA,Mc,414482,True,False
ට,U+0DA7,SINHALA LETTER ALPAPRAANA TTAYANNA,Lo,399693,True,False
ග,U+0D9C,SINHALA LETTER ALPAPRAANA GAYANNA,Lo,344182,True,False
ැ,U+0DD0,SINHALA VOWEL SIGN KETTI AEDA-PILLA,Mc,323022,True,False
ී,U+0DD3,SINHALA VOWEL SIGN DIGA IS-PILLA,Mn,283726,True,False
බ,U+0DB6,SINHALA LETTER ALPAPRAANA BAYANNA,Lo,246469,True,False
අ,U+0D85,SINHALA LETTER AYANNA,Lo,233643,True,False
.,U+002E,FULL STOP,Po,220845,False,False
‍,U+200D,ZERO WIDTH JOINER,Cf,215623,False,False
ො,U+0DDC,SINHALA VOWEL SIGN KOMBUVA HAA AELA-PILLA,Mc,165560,True,False
ණ,U+0DAB,SINHALA LETTER MUURDHAJA NAYANNA,Lo,141219,True,False
ළ,U+0DC5,SINHALA LETTER MUURDHAJA LAYANNA,Lo,112644,True,False
එ,U+0D91,SINHALA LETTER EYANNA,Lo,112172,True,False
ඩ,U+0DA9,SINHALA LETTER ALPAPRAANA DDAYANNA,Lo,109668,True,False
ජ,U+0DA2,SINHALA LETTER ALPAPRAANA JAYANNA,Lo,102984,True,False
ශ,U+0DC1,SINHALA LETTER TAALUJA SAYANNA,Lo,99667,True,False
ධ,U+0DB0,SINHALA LETTER MAHAAPRAANA DAYANNA,Lo,97609,True,False
ෝ,U+0DDD,SINHALA VOWEL SIGN KOMBUVA HAA DIGA AELA-PILLA,Mc,92944,True,False
",",U+002C,COMMA,Po,91627,False,False
ං,U+0D82,SINHALA SIGN ANUSVARAYA,Mc,82189,True,False
ඇ,U+0D87,SINHALA LETTER AEYANNA,Lo,79899,True,False
ෂ,U+0DC2,SINHALA LETTER MUURDHAJA SAYANNA,Lo,67662,True,False
ඉ,U+0D89,SINHALA LETTER IYANNA,Lo,60235,True,False
ඳ,U+0DB3,SINHALA LETTER SANYAKA DAYANNA,Lo,58529,True,False
ූ,U+0DD6,SINHALA VOWEL SIGN DIGA PAA-PILLA,Mn,57304,True,False
ආ,U+0D86,SINHALA LETTER AAYANNA,Lo,53971,True,False
ඔ,U+0D94,SINHALA LETTER OYANNA,Lo,52354,True,False
ච,U+0DA0,SINHALA LETTER ALPAPRAANA CAYANNA,Lo,45305,True,False
ඒ,U+0D92,SINHALA LETTER EEYANNA,Lo,39118,True,False
භ,U+0DB7,SINHALA LETTER MAHAAPRAANA BAYANNA,Lo,38102,True,False
උ,U+0D8B,SINHALA LETTER UYANNA,Lo,37590,True,False
0,U+0030,DIGIT ZERO,Nd,32207,False,False
ථ,U+0DAE,SINHALA LETTER MAHAAPRAANA TAYANNA,Lo,29717,True,False
1,U+0031,DIGIT ONE,Nd,26216,False,False
ෑ,U+0DD1,SINHALA VOWEL SIGN DIGA AEDA-PILLA,Mc,25887,True,False
2,U+0032,DIGIT TWO,Nd,22615,False,False
e,U+0065,LATIN SMALL LETTER E,Ll,20675,False,False
